Name,Users,Hash
MetaMask,16000000,157c99e12c26d26d6fd38b81e7f2e8c263c74e9ee7d869718a417282252bc232
"Avast SafePrice | Comparison, deals, coupons",8000000,6c22a1eacd19c0ae98a37e7c689864be895dfed831903272bebffce42cd8179a
Avira Password Manager,6000000,115ca64193483a6bff4aeab464de79acc75dcea98c5ced8df900f4b738bc1b82
Avira Safe Shopping,5000000,c1d80f3d62b89b10eeabc22f1b1a005a44a8c58f91fca51d1808dd3e89de8e89
Rakuten: Get Cash Back For Shopping,4000000,88b5a029c7e8eaa1c4a7d68b4679ab784486ecc630b24b1c42942f32196dc9ad
CKAuthenticator,4000000,74a17fec125f98d1d92a0f8a6748479e33f6286d042de6e6c6b5633a03f3e79a
Speedtest by Ookla,2000000,d2c827a7032d3324c1da3114ab413a685e7a89f61e1e7993f083e2bf5506e8bf
"AVG SafePrice | Comparison, deals, coupons",2000000,e4c9de78a153dcd8e76deb9478f8bd2931f0d38ef11be8390e610f6d28fed380
MozBar,1000000,4d6dd8a1222253b4aeaeb93bb5027aa934a8420f371b962663013ffc18255e1c
OneNote Web Clipper,1000000,ac1ee25d7e4d06c692a87ac1538f3c4dbfb0afcf5f58705a8370664fa4cc7945
Cashback service LetyShops,1000000,be721f15152ba27dcc89b32f3800e806e581493b089ec9f6394bb1977ed6b27e
EasyBib Toolbar,1000000,e0ac5a72730d8e3c0ec6f54c189594f95d7e986d8a5f595863f22f6022cef891
eJOY AI Dictionary,800000,e067c0c4c01d1d69931b377369edb945644e553a76b118bb51bc5186d114db55
wanteeed,700000,c04ca255091f6a98948e655e81d7c5f9c0696042de1a4b0bb361ec0b07554fb9
Page Analytics (by Google),700000,3fb278a4bf7ec048d898a9d10fefefb14a04d53c1a0fc45048295746ce3ed65d
Chrome Auditing for Education,500000,3c77f087c69f27ce564d183f829fd3e3d6e0f63accc809432ba02f8597987bb5
TTS Text To Speech - Voice Reader Online,500000,3ff1f218631d348714f9a7d6c75937227cfbffd392eb6b90d1755792ae6c2247
SwagButton,400000,715eb3c0cdb2c370fdb94715733439d097b565d9282ab19c97565388c03f1608
WhatRuns,400000,583f218d643faee99abe7ceb9bb0a5d580590e01d835e35373f7beb0c1301d89
Google Maps Platform API Checker,400000,c2795cbeb47f1928889025eaa14659deb34666699fcca8bbe6abec6d2b6607da
SaveFrom.net helper,400000,f8620dc6963baee66657119040858050678d3e448d991ce1be9eedfcd3ea91ed
Rakuten Button Canada,300000,b5456cc46ade7b6ef603f23442acec7536f55ad3883585656da1752ab6174499
Redirect Path,300000,8a27e351d4292978bbf1279a62d3a3125c0986b6a81b672e866634bef2b6c23a
Jobalytics - Resume Keyword Analyzer,200000,e3427c99e157d936f499f7bcaff4dfb13b261eebede47680f90b59d82d6850f1
Universal Video Downloader,200000,b056febf0da484f789a0ff3452e83f8dc63c2fff09b7cc4dbb7ac7a9d6d54201
Delinea Web Password Filler,200000,d9452283fa70a5f11999cb47173f34362011d4d4e4f180286484585afb220d5c
Download Master,200000,f9e79eab3b380d04e93557a108ef8a180ff80a5ec7bf4e4a63754106eca06431
Download Plus,200000,a9bdf73b7f68a6cac23085b3c24f5c4e938e0cd5e60f8dc00710349621e112c5
JSON-handle,200000,6a04b4b7801febccddea6ebd244636edf251889eca71cbb9e4e7a3f9d29245cf
Yesware Sales Engagement,100000,23c664176e7a4896336bd66653ff65e4b687139f5dd945db2b95dd81db64d63a
UET Tag Helper (by Microsoft Advertising),100000,df4abe939b57e55f2443aa2e0a6c49067a4b0c62c8f4a0d1e2ca48e6cf15aa6b
PAYBACK Internet Assistent,100000,5d0f0f6be1765d8d9722393e5896ff329a1bfdc1e1524fc9a9e3adf62518b722
楽天リーベイツ ポイントアシスト,100000,58321465d95e0eb48b4520d997701254792ee00726e47c9f4840534b79ccace8
Omnibug,100000,6fbfdeb0e50dd24495bc944304b5e18c7c081f79361872a0d8fba85e046bdd5d
Link Redirect Trace,100000,c9aa7ee187387d0d13e796b41600781d9ed7fd05375ee1f6b2e771d4a4bef94a
IA4Chrome,100000,be81ac7c06c0566ab72c44c3aada615a17e8cf17e367117fe763f243a7a4e014
AI-powered Notes on Videos - Video Notebook,100000,f96d98221577366cd5bfd7b0d1c791c26a542f4bc7dca24f026b80db2a43643e
Tada Extension,100000,06d4d8772c6b7b4fe82a2178670ea67747dbcf3c12e48dbb1d951ff2b598093f
Gmail Notifier - gmail notification tool,100000,aa534a7100f85e2175426f4100f638d7f072b06f9094a3a5f18486c9debc2c8f
Sophos Chrome Security,100000,be5d91299e121836a002cf7c0aef848f426a73c0bcd498a77c94cb31730a96f1
SAML Message Decoder,90000,b799dba6719234693daa7136ce09370d8cc7e4130e21fc490756a53044c1704a
TokenPocket - Web3 & Nostr Wallet,80000,7e5f909b57dae52c824081b3a2a02f9324210ebd5e91367554228e7199162a70
Aeroplan Shopping Button,80000,18724af2d01030fdac896ab49e489d37dba1e1b149bdad40c3ba65000b843081
Website IP_2,70000,4bf35b0b1e056bb8b9f1eff349733906371fcead88e38ece7a7f1992a06356b2
MyPoints Score,70000,37575b4c9d7517b4367acf38b62eda56ca0714e849719be2dac536993f979644
AwardWallet,70000,da0f82cce192b5c7460baa1c508b7851a94632b19eadec3e5bcee04a92e3a344
Seedr,70000,e7328fa3b66f34b40d009d8d52c8f188b93ffbe324a959a5420757bb56855522
Billy Button,60000,e2a060b33eddf0a520a93c09ea2013fb5c7e2066465edf226d19e7809c077f74
Twitter Pixel Helper,60000,4fb148745270ca5fae9f7b314e174012259eb88ba42bdf6f773bcc820dcf6253
Speedtest Pro-Free Online Internet Speed Test,60000,acf3921d34e8c7114aedf80488f9eebe26e360328ea8c4dacae840dbb441516d
CouponCabin Sidekick - Coupons & Cash Back,60000,26ec8b27d387ab5b8923acf6dde56acf14b0666f37461365affeeaffb295fe8a
Castorus,60000,d4bb60aa6b9303013f7b89e018217841880efe5e1949330367752a3bcb48b107
FatCoupon Cash Back & Promo Codes,50000,9546c7bf015094b5990993faffdaff83a75ab9df4cc39850fd75f7c00333ba58
AllDebrid Extension,50000,f642f6521caf344dc8238a40cccefa008b61da9a6af0e34677b689cecd9db03c
Разблокировать ВК. Работает быстро,40000,7ea5ee55eaa29202de5cea1bbda8af1371887c6b6b509a928623b39f35b9f51c
Adobe Creative Cloud,40000,02e75c98a053e2284b02b490420470dffd9766c97e9aa4b9ade07094855744d2
Music Downloader,40000,ff124e871b3f00943609d986726f5bcaaf110724b912c0deb0e2fd263c15d90e
Debugger for Adobe Analytics,40000,9aade000dfbb37969c4de95deb359a2fb70ace6a2ee1954ab00543574a13f383
Treatstream,40000,3c643c8f7642c63263b860473ec0e8da36bb6337d82280cbf879fac10c6d7f05
Robots Exclusion Checker,30000,50862bee12ab31cea8ae66c78847d82889458b196c65724af6199a2493903b90
Video m3u8 Sniffer - Find HLS Streaming URLs,30000,0d32c5082c946f0cb0fea7a03acc7fef34fc0eceb63f1ee740e5f33bf70f55d5
Feedly Notifier,30000,610ca83b1b8a5f8e938985fb8528cd73ce8139b685b3293b37e62e596178aa9f
艦これウィジェット,30000,8d1ec8c49473ec0c98a8763739661e604dbeaba93fb6779be85669bde71fc091
Clutter Free - Prevent duplicate tabs,30000,03705de19a86ad65c967c49483e3dfdb468a936bc3a8d3557bcb7e015dda63f2
ObservePoint TagDebugger,30000,d95c49537f396834e19a91fa08fb633845dfe194ab5b9251333d01f52ef94457
eTrack - Package Tracking,30000,cdf6b4112215f6cce95966e97414fef0a2be93cfa06e0da8053ded755a8ed432
Library Sniffer,30000,87b9058f54fb77236c7753bdc3c48dc3696136fea464da2bc6b04006bca5855d
RESTED,30000,fb4d3d4602c70abfb1161c025f79a37e2b9f38f90f15924b88b779b6c668c567
Internet Download Accelerator,30000,b53f12e9433d07a33855b79f52a75fda7ae13d220d36f8a519b84dae6c717e34
Tag Explorer,30000,20e8cb10e3461fb40273952cdbe6320e453fc56173d7cd834891907cb67a3526
VLC Capture,30000,7666db4fb0bdd4e5734bf00f248c702fbb2d6b89378c4756384980393676213f
Pricescout Price Comparison,30000,797523e36f6e088758669975e486cc2ea9e18e4814287a4365cfc8b20fb46dad
Free Backlink Checker by LRT,20000,eee5fe1ac1b592ae3dd5c442528629f1de923df5aa1c1e287408b1b6eba032a8
LockSelf,20000,33fa141a33fff399b3bf652d06ad0f4a2137e2be5f9d97e553cdaaedabfd619a
CSP Evaluator,20000,367f07101c48b7d13e2c65c1a024b7c60b01cb2d2897306e0b2bf8c4c3f3c5a0
Proctor360,20000,60d56499219a716d88bc8672d85d83568f45ab4c88c2a60e9c4815dd9363de48
