Name,Users,Hash
Sider: ChatGPT Sidebar + GPTs & GPT-4 Turbo,1000000,95a3bca2886faa135e91efd5287d9fdc7186abca10831c9f96d5dc78dd22c7bc
Cookie-Editor,1000000,c4e213e68d64c03941a8d3831a00ab63709d6e813e89218449d42a3a644d0aad
ExpressVPN: VPN proxy for a better internet,1000000,e75f5375db8d47b121c4cd6393ca59f8cb9994a02df698c960f0b09e71fb47e4
Clear Cache,1000000,3da74d414ba19ebbf6f1651e20180fc348e547a172b778a1a8f2854f507599eb
Total Adblock - Ad Blocker,1000000,929237a6b3115c09077b5da74e2af562023bda63e7181fc3ec18462be224c506
Video Downloader Plus,1000000,729afd3f52a4d61b1161ecb8cf5239d1a589e697738800a9f92f6766a652a9e2
Free VPN Proxy and ad blocker - Planet VPN,1000000,cd221fc096a6e1d7f3be0f689da4cf8610a4bc1e3cf94721237dbd77738d796e
Click&Clean,1000000,07a65e285977a8a41ede7ff035368cd76d793c539bb34f584b1a6a1f9cbea421
Web Developer,1000000,7e82a525e7d39e229a35915e5c6627ff16525eba853efee84dd3c82ac7ccf6b8
Mastery Connect LockDown Browser,900000,aeebb57a89bcbad46a382b29ab1306a459ac0122f74aa86b92284a8fc51d5d1f
Vimeo Record - Screen & Webcam Recorder,900000,16b343c80e678b423170f0adfb3bc636c065dcd8d56ad57f837aea3f48e73c52
Violentmonkey,900000,1315509d86d9a022fde99ad303babf74ca6e645746e72f3d93b7730f37fbb120
"Scribe: AI Documentation, SOPs & Screenshots",900000,5fedd65aeaea7f5a78ee22adc41643ccfa55adf3d02986a5045c02dc0bb11708
Ace Script,900000,9a27b7e900f8d49d85553a24431526947f3d1579ba7aa83de9572f3b4c11f04c
RetailMeNot Deal Finder™️,900000,f3f78121ccef4681befc418a559680ad7843ee6108beffa11637bc100bb0f7c1
True Key™ by McAfee,800000,180d062dabe2b112c95afa9ba76518b2811ec38e8baf8bc9e85729e148801c4d
Guardio Protection for Chrome,800000,07b4d439ac0ef11fa9bbfa913a1f354313e347220402b4340dffecca3666d437
Postman Interceptor,800000,257dd068d83b71d8b87037c8adfa9e8c0f9670d04660a743c5a021ca2f075121
WinSafe - быстрый доступ к сайтам!,700000,a807543d73ca78f08c24143a9ef8b6e9e21e0b074163b82684e9626d369c13a0
Tampermonkey BETA,700000,bab11b26a10b3a04d25188b468e296cc9adb7877701a673658bc6e913545d599
Grammar and Spelling checker by Ginger,700000,dc8f0cd6ed7f9c942c80be611b41aa8cb25aed5bb89fce645431459a373d93de
wanteeed,700000,c04ca255091f6a98948e655e81d7c5f9c0696042de1a4b0bb361ec0b07554fb9
Trustnav Safesearch,700000,3bdf354bc6f207078e7c4b83c730ee1ab9fbddbd3a45dc029c1cd549084f5b8b
Eno® from Capital One®,700000,f335549cf4296431d73d40e2a32328f0a8127e823344b0024a76971c6eb592ef
Pushbullet,700000,454ef55ab8dcab5edbdc837c78e6cc3f441dc2d3031a4dd0924165c7402b1e58
Fast save and repost for Instagram,700000,8374854d15e38006d203ec65c46f21becc51cc8ec536a97fca08a49c953cfe93
Page Analytics (by Google),700000,3fb278a4bf7ec048d898a9d10fefefb14a04d53c1a0fc45048295746ce3ed65d
ShopBack Button - Earn Cashback as you shop!,700000,7083ebf1260e20a32b2205afe2dbd1fb04f98af640c900e5254233e4d1a6f8b8
Cuponomia - Cupom e Cashback,600000,518612481bc58df005d5de11f59b457ea3b79876ddfd601ceca6f04df313d2ea
Fakespot Fake Amazon Reviews and eBay Sellers,600000,49e1e61e1cb3f11de976bdd2286b68b695113dff7ecc964970ce9b0816949d56
ProNet: Доступ к сайтам!,600000,5b581089313bcbfaaced14cae45b5c6c81b6d5e841ae547bbbb9ca6c0aa95c89
Mobile simulator - responsive testing tool,600000,3a22e10e2dc75115338c92d6a717289180db215b34f0bbe6beafa787f0598576
Text to Speech: Voice Reader TTS,600000,0592f5bd54517884ff0ff28e5e2a3f784fcc13232bae92cc12f2e078ffd96706
Senso Client,600000,83b33148b10c475ff849e75e208b84352d5b89b2b0895700914b6de06b02fad4
Ubersuggest - SEO and Keyword Discovery,600000,84d4f7f6fb64cb7e72974e7b84ced4afbc7cb063a3b1cef35e8a5450f1ad7135
alerabat.com | kupony i cashback,600000,295974e3b0bf860dd2fa42d5b4aee6fc5e7c34088f2b511f794579be632fb488
Fnet - Доступ к сайтам!,600000,d2876f38be0eafe10c8a4e4b6c184c9246d9ec2c8601340552ab106345e34536
CouponBirds - SmartCoupon Coupon Finder,500000,504f7eedc8077a4ef8487a09245dc3c9df7dfd43329804aeba56790df1ea39ab
沙拉查词-聚合词典划词翻译,500000,923508e811b2a9e40f4d09df08c6a8949af85194b1cbe6a557e32ee36bae4583
Video downloader,500000,414d2bb14ff7c3cdb63f4d8692eda3e1831b7f49473908e6d9abafb40f72da50
"FormSwift PDF Editor:Convert, Sign, Edit",500000,c6c7d37b5c146c89822854ca3afd24a4133138a920257b02260c06e463f5dfee
HelloID Extension,500000,264e972acf5e579f1aedbdced0f3c4bb2a7a330ad677112d75bac31f36813e6f
Alitools Shopping Assistant,500000,07f2d734d0b97690ac3559cf3a65566319a4839512b7ddc6305aee1cc53a64a4
Smarty,500000,793b7dfbe822d32dbf6a391cf6687508dc78007327894893b92339ae07df6a7b
Free VPN for Chrome - Troywell VPN,500000,58913276da60ea6eb8139f17fcd410afd9c388c4047d5c536a53a4a287ff09cc
Скачать музыку с ВК,500000,4cdd3b594f2ac35ba43ecbbc1d8e76d703b5cdd79b259c960e68b27519c9e295
Online video downloader - download video,400000,60a6890d0ae83b24d927ba7ace3d96c0ed86500ccd8d0ac9ee51b80b528bc38c
Magical: AI Writer & Autofill Text Expander,400000,98ec5ab621326f80823b4e5fa4f98f066ffb6f1d5a128feb2da31326dafcda01
Email Finder by Snov.io,400000,a243e9ee152ac583b2e13c36d4b9f434654d2e064586325f898f24c1fdbbe3bc
SwagButton,400000,715eb3c0cdb2c370fdb94715733439d097b565d9282ab19c97565388c03f1608
Emoji Keyboard 2023 - for Chrome Browser,400000,7ee9be17500744a3c996adab0262324d14b1abbc4445141b274bb0d6a6ee241d
iMacros for Chrome,400000,bc2fa566b0aa1459db43002076acd512aad4bb450ae099e4f12a6f700238afd9
webPass,400000,1307eb9cec2ddaca25d189771aefaddb959669072088f2143cca0529a4223f65
Pnet: бесперебойный доступ к сайтам!,400000,36f761ffaf422ba2c92cb614b60e44878a9758d7793eb717fa9057dc851e585d
Ntko office document control browser plug-in.,400000,b0c1f75d2ea914a9a81dca0cd5332d3c18a3c98fc006701cdfcc912aeabe4ab1
Reclame AQUI,400000,5eb2a05d6633431a3d29242f20739d53b30ac61474376572fdd8d5e6c4736403
Rakuten Button Canada,300000,b5456cc46ade7b6ef603f23442acec7536f55ad3883585656da1752ab6174499
壹伴 · 小插件,300000,0a13e7335a3bfe031f63f947e0308338b0927728e4431ac89756e4462b7fe4e9
Wikiwand: Wikipedia Modernized,300000,bc6bfd5cd8fa5f81f98521f358389b0f29b5329356c56f34722baafc4303ea91
Fabasoft Client,300000,6b9480816c9096ae501a92fe64e32148d6741f3eb26021feacfeaf2ad4c8bf64
KeePassXC-Browser,300000,d7da758578e0d32c259bbabf015c4c7f3ae63e5bf03444e569862be348f032a6
"Reverso – Translation, dictionary",300000,1169af76106efb5a22ff3c64b9fc1cfa8761ac0e8da47c7f156c7366809cf02b
"Ibotta: Price compare, cashback, item alerts",300000,c880bb6009baf4d376f92975f24b2a87546ea45e2aeebb134c68d6c201087a52
AdBlocker by Trustnav,300000,ff9cfbda34b0e54f040ffbd959db8116e2c7ab4248d9610f0b6eea1aaa173608
"Manganum Sidebar with Gmail, ChatGPT and more",300000,41dfe4da0b607fc65ce71c6a69d2b7354fc264d135c56b9c12bd5770344310ea
SessionBox - Multi login to any website,300000,1e52e0b4b58dbb8e62a9de01e9c40a0f700649118e12b2f9fee43a90270dd497
Toucan by Babbel - Language Learning,300000,856a73bf8d94a6795737587c5cc2a0202b38e5a460692eeba199c829959bb303
eRail.in,300000,125ea88fdc96bcc520b508345625e4bae4e6aa68e7c902b5195335bd4c0f5ffd
Snet: Сохрани свою анонимность!,300000,3a31bf43f06097a6b3c853031affaf316244bce3e8ad757d1acd62c8c1e5ad95
Mike Adblock For Chrome | Chrome Ad Blocker,300000,91b6c123b306fa7c9ef87101e5a5df4dbcf732f7991c51504a2c38d15291e860
