Name,Hash,Users,Version,All Hosts,Permissions
GregTestApp,18e310aa4e6e2dac08832b44a7bcd9f465bf7dd7509ee787694cef42675a2e00,0,2,False,"['https://github.com/', 'audio', 'audioCapture', 'browser', 'clipboardRead', 'clipboardWrite', 'contextMenus', 'desktopCapture', 'documentScan', 'fileBrowserHandler', 'fileSystem', 'identity', {'mediaGalleries': ['read', 'delete', 'copyTo', 'allAutoDetected']}, 'notifications', 'printerProvider', 'storage', 'system.network', 'tts', 'usb', 'videoCapture', 'wallpaper', 'webRequest']"
Impact Guns Boise Remington 783 Giveaway 2018,a32cbc751669c669e7a6df0b7f5b99baf7ed62ec79fe1566798167aada9bcec1,0,2,True,"['webview', 'power', 'storage', 'videoCapture', 'geolocation', 'pointerLock', 'system.display', {'fileSystem': ['write', 'retainEntries', 'directory']}, 'accessibilityFeatures.read', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Player web,06469fc00fcea7190eeed24895953fd75c6ff11af353ac9019f79f3b05c9b3e4,0,2,True,"['serial', 'storage', 'fullscreen', 'webview', 'webRequest', 'webRequestBlocking', 'power', 'http://*/*']"
TestNav,0ce25b0ee4b1ab38e4213110895b0bf0cdb421188b40911157a21727f7e87585,0,2,False,"[{'socket': ['resolve-host', 'resolve-proxy', 'tcp-connect', 'tcp-listen:*:*']}, {'fileSystem': ['write']}, '*://*/', 'webview', 'unlimitedStorage', 'clipboardWrite', 'audioCapture', 'videoCapture', 'desktopCapture', 'virtualKeyboard', 'power', 'accessibilityFeatures.read', 'accessibilityFeatures.modify', 'audio', 'enterprise.deviceAttributes', 'enterprise.platformKeys', 'webRequest', 'webRequestBlocking']"
VideoSpot,c0d8123fe755c2ca58103ce5d118811ae344b6b4ce5ef22eb57334b5f1302eea,0,2,True,"['background', 'storage', 'alarms', 'power', 'system.cpu', 'system.memory', 'system.storage', 'system.network', 'unlimitedStorage', 'webview', 'browsingData', 'filesystem', 'webRequest', 'webRequestBlocking', '<all_urls>']"
Impact Guns Ogden Remington 783 Giveaway 2018,204199af667eed03e2e90cf08567f8e68eddbf7f6c06cf2d126cba189b7f63c0,0,2,True,"['webview', 'power', 'storage', 'videoCapture', 'geolocation', 'pointerLock', 'system.display', {'fileSystem': ['write', 'retainEntries', 'directory']}, 'accessibilityFeatures.read', 'webRequest', 'webRequestBlocking', '<all_urls>']"
TelemetryTV Media Player,3c99a4e4064236845369c55c471ba5b395d6bc02e709591c05ab0bc58ff13f5c,0,2,True,"['storage', 'power', 'http://*/*', 'https://*/*', 'webview', 'webRequest', 'webRequestBlocking', 'fullscreen', 'overrideEscFullscreen', 'system.display', 'system.storage', 'system.cpu', 'system.network', 'system.memory', 'enterprise.deviceAttributes', 'unlimitedStorage', 'serial', 'audioCapture', 'videoCapture']"
Merchant isyBuy Adcional,37150c79772ef7fb0cfadd0fa79e5bda85f1712ddf225edbd00b1dbd09987ca1,0,2,False,"['webview', 'gcm', 'webRequest', '*://vm2.payment4u.net/', '*://localhost/', 'storage', 'notifications', 'proxy']"
Citrix Workspace,20e47475fbe10ea6d5fe7e1de635a17cbe8aed4b79e61cdbbc00986785273593,0,2,True,"['webRequest', 'http://*/*', 'https://*/*', 'clipboard', 'clipboardRead', 'clipboardWrite', {'fileSystem': ['write']}, 'notifications', 'storage', 'identity', 'identity.email', 'webview', 'system.network', 'app.window.fullscreen.overrideEsc', 'serial', 'geolocation', 'power', 'usb', {'usbDevices': [{'interfaceClass': 0}, {'interfaceClass': 1}, {'interfaceClass': 2}, {'interfaceClass': 3}, {'interfaceClass': 5}, {'interfaceClass': 6}, {'interfaceClass': 7}, {'interfaceClass': 8}, {'interfaceClass': 9}, {'interfaceClass': 10}, {'interfaceClass': 11}, {'interfaceClass': 13}, {'interfaceClass': 14}, {'interfaceClass': 15}, {'interfaceClass': 16}, {'interfaceClass': 17}, {'interfaceClass': 18}, {'interfaceClass': 220}, {'interfaceClass': 224}, {'interfaceClass': 239}, {'interfaceClass': 254}, {'interfaceClass': 255}]}, 'identity', 'videoCapture', 'audioCapture', 'enterprise.deviceAttributes', 'app.window.shape', 'contextMenus', 'system.display', {'socket': ['tcp-connect:*:*']}, 'alwaysOnTopWindows', 'alarms', 'networking.onc', 'platformKeys', 'printing']"
Merchant isyBuy_1,ba4cc35fcb196b2fc412af2b53fce5b0dad3052296ae9534a20d711212e5fc29,0,2,False,"['webview', 'gcm', 'webRequest', '*://application.isybuy.com/', 'storage', 'notifications', 'proxy']"
Merchant isyBuy,f4d4f14551d91ebc9ff69a998bcbe6430ec4984b84278c1b5acad3b99cf3d071,0,2,False,"['webview', 'gcm', 'webRequest', '*://application.isybuy.com/', 'storage', 'notifications', 'proxy']"
