Name,Users,Hash
Eno®  from Capital One®,28961,93bf6a6cab967008ded0fd2147890a9ae2eef2b34971fedea10cac00fb7acbd2
YouTube Flash Video Player,28161,a10ecf0a20b6b29dcd9398fd81d86114323451a65ee62de5cac6cc1822fc40d3
Wayback Machine,28156,d28decdb0ac445e5c57a8ccde350b3d0fc215708de123031ed530a814abd970c
CanvasBlocker,26355,4255525d769ecc4e5ca6d68748747020bae1e5e62ba71a56c0fa3830d33045db
Bypass Paywalls Clean (D),25989,9331db9a964102b26e864903029817b6e6c69ad6fc3a5a3ae81c2b80d906afad
Tab Stash,25772,4032d158c3e17aadfb97586cad40b7351b8e2b8bb84f7b02da52810dddce54d5
PhishWall,24189,d9ad1613bba207c903d5dcc0cdd0e0c996a959392b2254d2da9e1787844f2722
Ronin Wallet,23757,5e02cc5f89cbd338e1fecc65825cdf1a72f68f71993a471ae55e064af21e4634
Foxy Gestures,22786,bc32ab184c234d40e37b0fd9770cfbcac3b53dd7cecd77319aa4120997dbd1cf
Avira Password Manager,22471,115ca64193483a6bff4aeab464de79acc75dcea98c5ced8df900f4b738bc1b82
uMatrix,22463,50b58fd5cadc7db0f23ae3b041a57b59ab5a569c5af4f590296fb37118529f96
Passbolt - Open source password manager for teams,21584,e5bde063f2fa28303c89b3fb693864244d0b1f3bec5e6b3e8bf0e326a7223dc5
Antidote Connector for Firefox,21108,479d43beebdcff82261b4b72fbdb33f112da068f904b68d1174db7ba003176ad
FoxyTab,20907,3062107c9cfca69751181ed8808184aa8f3a430949e99c57eacee86860a2ceec
SellerSprite - The Most Professional Amazon Tool,20589,4641dea2a101e2edcd1ce5ef85a3d46d9215a897fa0da0d4ce69cb3e1391f94d
Pushbullet,20509,454ef55ab8dcab5edbdc837c78e6cc3f441dc2d3031a4dd0924165c7402b1e58
Snap Links Plus,18785,6fd14ac645d88bda613ca5d4da3a2907c5ffe41bd366291cdf119f4b23755a15
XDM Browser Monitor,18679,5fdbb12c31442ecd935933dd38abe85ce94ce47b0e9da8248c912cf39ad4c8e8
Edge Translate_1,18559,09946e1e5b28638d6aa2b42ed24b22ac8521fd9054558c292c28fea6077b326c
Méliuz: Cashback em suas compras,17909,f30a6a138a4fe14611f6931a2d6ef12bb18f230a5e04ad70dd5544200e81fe3e
CouponBirds SmartCoupon Coupon Finder,17813,f26559a8d1ad6a8af55123fbc6789d40c0e35b9bfd40ce21da7cad58f5a32c0d
Forget Me Not - Forget cookies & other data,17175,6f30a049549e1d0b6551ed289b25f7e8ee96104489c70a40510bed16f21f6b20
TrackMeNot,16307,aef63e75c0d222c5101f91c77440baf897d6529ddaaa9ab03bcfb68319187643
cookies.txt,15766,47dee632398837f060d58551de530651f210211be97c7d42fca2a8f8f91de7d1
NeatDownloadManager Extension,15688,4d10f329cdeacc7a5cb6f101a0effb0fc16e4f64a5e19a9ad18aedbb4dd9ae18
Temporary Containers,14865,77054dafe9df4aea695abaa711cb9576d37d8d29dba39ddbe5f6aad263eaf02d
