Name,Hash,Users,Version,All Hosts,Permissions
PDF Viewer_1,8d3221cefd13409bb0fa886536abd7097f166357c37721ffcfb7c4751e2568ea,1000000,3,True,"['webRequest', 'webNavigation', 'storage', 'contextMenus']"
Video downloader Pro,639262edeab76293f7b8ef7875cf9f981ea253ad90bd85198df83c4049065550,1000000,3,True,"['downloads', 'storage', 'webRequest', 'declarativeNetRequest']"
Video Downloader Unlimited,4acdd8bb16e0994bad52524a46e2e2474a4b374ae4ca80bb1980d81ec93c1137,1000000,3,True,"['storage', 'activeTab', 'downloads', 'webRequest', 'webRequestBlocking']"
Video downloader - download any video,5fc1d96a2c330007ac237339d081f9eed3fd2c0e136618de205976b3b43be09c,1000000,3,True,"['storage', 'webRequest', 'tabs', 'downloads']"
BlockSite: Block Websites & Stay Focused,3b7addd192f5e2f6bd1060651291175475bfcbaa0d40b12d30abb440347c0d91,1000000,3,True,"['tabs', 'declarativeNetRequest', 'storage', 'unlimitedStorage', 'contextMenus', 'notifications', 'webRequest', 'webNavigation', 'cookies', 'scripting', 'alarms', 'idle']"
TunnelBear VPN,d61e849f931f7f002f0e8b857bb87549e5c6216653482e3fdbcc8c2486219fa3,1000000,3,True,"['proxy', 'storage', 'webRequest', 'privacy', 'management', 'webRequestAuthProvider']"
Browser Redirection Extension,82465497230940279bd7a260bc4f50db6df7a5ee19fe861a3e3226647e1f372d,1000000,3,True,"['declarativeNetRequest', 'activeTab', 'webNavigation', 'storage', 'tabs', 'nativeMessaging', 'webRequest']"
Surfshark VPN Extension,f33b75f997e251f1958862fa33ad9e80993020639b847bfdd39296dfae953d6d,1000000,3,True,"['proxy', 'webRequest', 'webNavigation', 'privacy', 'tabs', 'contextMenus', 'storage', 'scripting', 'webRequestAuthProvider', 'declarativeNetRequest', 'declarativeNetRequestFeedback']"
Image Downloader - Save photos and pictures,348cc506a9ebe129d518743ca8472357cb7161c3f995b52ab316b06cceb7ac63,1000000,3,True,"['storage', 'activeTab', 'downloads', 'scripting', 'webRequest', 'declarativeNetRequest']"
Video Downloader - Social video save,31bedfb31720c43635b67a375624008e83ef177a3239e7e5d4e0cf2b22189419,1000000,3,True,"['webRequest', 'storage', 'activeTab', 'downloads', 'scripting']"
ExpressVPN: VPN proxy for a better internet,e75f5375db8d47b121c4cd6393ca59f8cb9994a02df698c960f0b09e71fb47e4,1000000,3,True,"['cookies', 'nativeMessaging', 'privacy', 'storage', 'webRequest', 'tabs', 'unlimitedStorage', 'notifications', 'declarativeNetRequest']"
FUJIFILM Synapse Extension,28c9c9fcb4d03f4df2b3706047492eb0d15c4b86de0333dce574555c0fae3a22,1000000,3,True,"['storage', 'tabs', 'nativeMessaging', 'webRequest']"
Similarweb - Traffic Rank & Website Analysis,875bb040466bccae399b6f69a13541877245528d30e375e59293f7bd276e7281,1000000,3,True,"['scripting', 'storage', 'tabs', 'webNavigation', 'webRequest']"
Image Downloader - Save pictures,bc6d19615d0f90b0c87a51acfee024a30dd73ab463ad43257f37c4c7d9bb56a0,1000000,3,True,"['storage', 'activeTab', 'scripting', 'downloads', 'webRequest', 'declarativeNetRequest']"
Quick search with ChatGPT,10febc75dbc0736ca6a57e9f0e0bc52bed21020a04630df5ddb82b58b9035e20,1000000,3,True,"['storage', 'contextMenus', 'webRequest']"
TrafficLight,05629086e41eccd50879e63f154414913a78fc7741be0d97519b00d5a35a8ffe,1000000,3,True,"['tabs', 'alarms', 'storage', 'scripting', 'webRequest', 'nativeMessaging']"
Video Downloader Pro_1,4e7e474f6f41173427cbff76afbdf9f2feca96e6f83a4666198c9fa684b0cb6f,1000000,3,True,"['downloads', 'storage', 'webRequest', 'tabs', 'scripting']"
Mastery Connect LockDown Browser,aeebb57a89bcbad46a382b29ab1306a459ac0122f74aa86b92284a8fc51d5d1f,900000,3,True,"['system.display', 'history', 'cookies', 'storage', 'notifications', 'webNavigation', 'webRequest', 'declarativeNetRequestWithHostAccess', 'tabs', 'activeTab', 'scripting', 'management', 'idle', 'clipboardRead', 'clipboardWrite']"
Video Downloader Plus_1,3d696f072012a56dc5d2172ff52685edb6d7b0d0f1cd00b480b30a3e756c6fb3,900000,3,True,"['downloads', 'storage', 'webRequest', 'tabs', 'scripting']"
